id,code,name,kind,inr,eur,dol,genus_name,specific_epithet,fine_fragrance,personal_care,home_care,food,description
1,EO0001,Ajwain Oil,Essential Oil,1500,21.4,25,Trachyspermum,Ammi,TRUE,TRUE,TRUE,TRUE,Known for its health benefits like anti-inflammatory action and it is also an antioxidant.
2,EO0002,Aniseed Oil,Essential Oil,1250,17.9,20.8,Pimpinella,Anisum,TRUE,TRUE,TRUE,TRUE,Can be used widely and effectively in flavouring applications for its unique taste.
3,EO0003,Basil Oil,Essential Oil,1250,17.9,20.8,Ocimum,Basilicum,TRUE,TRUE,FALSE,TRUE,Refreshing smell. Used as a massage oil and also in various cosmetic applications.
4,EO0004,Bergamot Oil,Essential Oil,950,13.6,15.8,Citrus,Bergamia,TRUE,TRUE,TRUE,FALSE,Tangy and citrusy. A must use in any Eau de Cologne formulation.
5,EO0005,Cajeput Oil,Essential Oil,1350,19.3,22.5,Melaleuca,Leucadendra,TRUE,FALSE,FALSE,TRUE,"Effective in treating colds, headaches, toothaches and even tumors."
6,EO0006,Camphor Oil,Essential Oil,450,6.4,7.5,Cinnamomum,Camphora,TRUE,FALSE,FALSE,FALSE,Popularly used as a room freshner and in various temples across India.
7,EO0007,Caraway Oil,Essential Oil,3350,47.9,55.8,Carum,Carvi,TRUE,TRUE,TRUE,TRUE,The main ingredient for gripe water used for healthy upbringing of new born babies.
8,EO0008,Cardamom Oil,Essential Oil,5200,74.3,86.7,Elettaria,Cardamomum,TRUE,FALSE,FALSE,TRUE,"Tangy and spicy, but cool. It is a popular flavouring agent too. "
9,EO0009,Cassia Oil,Essential Oil,1250,17.9,20.8,Cinnamomum,Cassia,TRUE,FALSE,TRUE,TRUE,Strong spicy fragrance which can be used to give any perfume a unique signature.
10,EO0010,Cedarwood Oil (Microscopic),Essential Oil,2400,34.3,40,Cedrus,Atlantica,FALSE,FALSE,FALSE,FALSE,"Used in chemical testing, for laboratory purposes."
11,EO0011,Cedarwood Oil (Rectified),Essential Oil,800,11.4,13.3,Cedrus,Atlantica,TRUE,TRUE,FALSE,FALSE,"Apart from its fine aromatic character, cedarwood oil can help to increase focus and wisdom."
12,EO0012,Celery Seed Oil,Essential Oil,6200,88.6,103.3,Apium,Graveolens,TRUE,FALSE,FALSE,TRUE,Popularly used in soaps and as a flavouring agent in several foods.
13,EO0013,Cinnamon Leaf Oil,Essential Oil,1250,17.9,20.8,Cinnamomum,Verum,TRUE,TRUE,TRUE,TRUE,"Spicy, yet rounded. The oil derived from the leaf is spicier than one from the bark."
